partner_id,hotel,arrival_date_year,arrival_date_month,country,market_segment,distribution_channel,reserved_room_type,customer_type,lead_time,lead_time_band,adr,partner_segment,region_proxy,quality_score_proxy,eligible_for_test,treatment_group,baseline_commission_rate,test_incentive_rate,booking_units_before,booking_units_after,gross_booking_value_before,gross_booking_value_after,platform_margin_before,platform_margin_after,booking_delta,revenue_delta,margin_delta,cancellation_rate_proxy,cannibalization_pressure
C_PRT_Groups_0,City Hotel,2017,May,PRT,Groups,TA/TO,A,Transient,165,90d+,225.0,Growth,South Europe,62.13301955828102,0,0,0.155,0.0,1.0,0.993575891391185,900.0,894.2183022520665,139.5,138.6038368490703,-0.006424108608815038,-5.781697747933549,-0.8961631509297092,1.0,0.01
C_PRT_Groups_1,City Hotel,2015,September,PRT,Groups,TA/TO,A,Transient,342,90d+,170.0,Growth,South Europe,50.22011125631653,0,0,0.155,0.0,1.0,0.9454698266074861,1020.0,964.3792231396359,158.1,149.47877958664355,-0.05453017339251387,-55.62077686036412,-8.62122041335644,1.0,0.01
R_ESP_Online TA_2,Resort Hotel,2016,September,ESP,Online TA,TA/TO,A,Transient,6,0-7d,97.5,Core,South Europe,90.2531583706452,1,0,0.165,0.0,1.0,1.0091621978365723,195.0,196.7866285781316,32.175000000000004,32.46979371539172,0.00916219783657235,1.786628578131598,0.2947937153917124,0.0,0.01
C_PRT_Offline TA/TO_3,City Hotel,2017,March,PRT,Offline TA/TO,TA/TO,A,Transient,56,31-90d,85.0,Core,South Europe,66.5839530147385,0,0,0.165,0.0,1.0,0.9959406555158435,255.0,253.9648671565401,42.075,41.90420308082912,-0.004059344484156457,-1.0351328434599054,-0.1707969191708827,1.0,0.01
C_ESP_Offline TA/TO_4,City Hotel,2015,August,ESP,Offline TA/TO,TA/TO,A,Transient,10,8-30d,85.0,Core,South Europe,71.34275367942314,1,0,0.165,0.0,1.0,0.8475746252613445,595.0,504.3069020305,98.17500000000001,83.2106388350325,-0.15242537473865547,-90.6930979695,-14.964361164967514,0.0,0.01
C_IND_Online TA_5,City Hotel,2017,August,IND,Online TA,TA/TO,A,Transient,41,31-90d,142.0,Core,Other,50.88474345196377,0,0,0.165,0.0,1.0,1.0664752317215953,710.0,757.1974145223327,117.15,124.9375733961849,0.06647523172159531,47.19741452233268,7.7875733961848965,1.0,0.01
C_PRT_Groups_6,City Hotel,2017,January,PRT,Groups,TA/TO,A,Transient,552,90d+,62.0,Growth,South Europe,60.894882822171,0,0,0.155,0.0,1.0,1.0606534433806745,124.0,131.52102697920364,19.22,20.385759181776564,0.060653443380674466,7.52102697920364,1.165759181776565,1.0,0.01
C_FRA_Online TA_7,City Hotel,2016,January,FRA,Online TA,TA/TO,A,Transient,1,0-7d,93.0,Core,South Europe,82.78630185359492,1,1,0.165,0.025,1.0,1.0207248170932843,93.0,94.92740798967544,15.345,13.289837118554564,0.02072481709328433,1.9274079896754444,-2.055162881445437,0.0,0.01
R_GBR_Offline TA/TO_8,Resort Hotel,2017,August,GBR,Offline TA/TO,TA/TO,A,Contract,137,90d+,118.5,Core,West/North Europe,84.88239189746997,1,1,0.165,0.025,1.0,1.0561558499768906,1185.0,1251.5446822226154,195.525,175.21625551116617,0.056155849976890604,66.54468222261539,-20.308744488833838,0.0,0.01
C_SVK_Online TA_9,City Hotel,2016,November,SVK,Online TA,TA/TO,A,Transient-Party,209,90d+,152.1,Core,Other,79.02869250698494,1,1,0.165,0.025,1.0,1.0154836935831408,608.4,617.8202791759828,100.386,86.4948390846376,0.015483693583140834,9.420279175982841,-13.891160915362391,0.0,0.01
C_DEU_Online TA_10,City Hotel,2016,December,DEU,Online TA,TA/TO,A,Transient,234,90d+,76.84,Core,West/North Europe,91.1557858240398,1,1,0.165,0.025,1.0,0.9387331084127679,384.20000000000005,360.66126025218546,63.39300000000001,50.49257643530597,-0.061266891587232086,-23.53873974781459,-12.900423564694037,0.0,0.01
R_PRT_Groups_11,Resort Hotel,2016,October,PRT,Groups,TA/TO,A,Transient,393,90d+,72.0,Growth,South Europe,65.44454354800264,0,0,0.155,0.0,1.0,1.129823431507661,288.0,325.3891482742064,44.64,50.435317982501985,0.12982343150766096,37.38914827420638,5.7953179825019845,1.0,0.01
R_SWE_Online TA_12,Resort Hotel,2016,June,SWE,Online TA,TA/TO,A,Transient,124,90d+,153.0,Core,Other,85.4622148829285,1,1,0.165,0.025,1.0,1.0799859131005711,1377.0,1487.1406023394863,227.205,208.1996843275281,0.07998591310057113,110.14060233948635,-19.00531567247191,0.0,0.01
C_PRT_Online TA_13,City Hotel,2016,May,PRT,Online TA,TA/TO,A,Contract,207,90d+,106.2,Core,South Europe,67.89068844877623,0,0,0.165,0.0,1.0,1.0564361760348306,424.8,448.7740875795961,70.092,74.04772445063335,0.05643617603483064,23.974087579596073,3.9557244506333546,1.0,0.01
