partner_id,partner_segment,region,channel,price_band,quality_score,eligible_for_test,treatment_group,baseline_commission_rate,test_incentive_rate,bookings_before,bookings_after,adr,gross_revenue_before,gross_revenue_after,platform_margin_before,platform_margin_after,cancellation_rate_before,cancellation_rate_after,cannibalization_pressure,booking_delta,revenue_delta,margin_delta
100000,Premium,West Europe,Affiliate,Upscale,72.1,0,0,0.175,0.0,364,399,204.27,74354.87,81504.37,13012.1,14263.27,0.1017,0.0976,0.01,35,7149.5,1251.17
100001,Core,West Europe,Affiliate,Midscale,83.9,1,1,0.165,0.025,268,290,162.27,43489.31,47059.33,7175.74,6588.31,0.1035,0.0947,0.025,22,3570.020000000004,-587.4299999999994
100002,Long Tail,North Europe,Direct,Midscale,77.1,0,0,0.15,0.0,103,107,106.2,10938.98,11363.79,1640.85,1704.57,0.1044,0.1078,0.01,4,424.8100000000013,63.72000000000003
100003,Premium,West Europe,Mobile,Upscale,68.3,0,0,0.175,0.0,289,267,171.91,49683.17,45901.06,8694.55,8032.69,0.1032,0.1081,0.01,-22,-3782.1100000000006,-661.8599999999997
100004,Growth,Central Europe,Mobile,Midscale,68.4,1,0,0.155,0.0,117,114,131.24,15355.63,14961.9,2380.12,2319.09,0.0953,0.0979,0.01,-3,-393.72999999999956,-61.029999999999745
100005,Long Tail,South Europe,Mobile,Midscale,92.5,0,0,0.15,0.0,82,80,143.35,11755.06,11468.35,1763.26,1720.25,0.098,0.1029,0.01,-2,-286.7099999999991,-43.00999999999999
100006,Premium,West Europe,Direct,Budget,76.4,0,0,0.175,0.0,122,130,102.87,12549.67,13372.6,2196.19,2340.21,0.1241,0.1305,0.01,8,822.9300000000003,144.01999999999998
100007,Premium,North Europe,Direct,Budget,94.4,0,0,0.175,0.0,307,275,70.36,21600.79,19349.24,3780.14,3386.12,0.1022,0.0989,0.01,-32,-2251.5499999999993,-394.02
100008,Growth,West Europe,Direct,Upscale,72.9,1,0,0.155,0.0,280,331,283.5,79379.02,93837.34,12303.75,14544.79,0.0694,0.0704,0.01,51,14458.319999999992,2241.040000000001
100009,Core,West Europe,Direct,Midscale,80.9,1,1,0.165,0.025,267,254,157.69,42104.17,40054.15,6947.19,5607.58,0.1227,0.1345,0.025,-13,-2050.019999999997,-1339.6099999999997
100010,Core,South Europe,Direct,Midscale,98.0,1,0,0.165,0.0,155,155,130.9,20289.45,20289.45,3347.76,3347.76,0.0622,0.0639,0.01,0,0.0,0.0
